,NSC,CID,SMILES,MECHANISM,NAME,nci60,nciSclc,lantnci,gdsc1,gdsc2,gdscDec15,ccle,ctrp
20431,758485,11754511.0,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCC4=CN=CN4)Br,Kinase,BX-912,758485,758485,758485,BX-912,,BX-912,,
20432,758486,2926768.0,CC1=C(C(C2=C(N1)CC(CC2=O)C3=CC=CC=C3OC)C4=CC(=CC=C4)O)C(=O)OCCOC,Other,"2-Methoxyethyl 4-(3-hydroxyphenyl)-7-(2-methoxyphenyl)-2-methyl-5-oxo-1,4,5,6,7,8-hexahydroquinoline-3-carboxylate",758486,758486,,,,,,
20433,758487,24826799.0,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,Kinase,Ponatinib,758487,758487,758487,Ponatinib,,AP-24534,,
20434,758487,24826799.0,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,Kinase,AP-24534,758487,758487,758487,Ponatinib,,AP-24534,,
20435,758488,11351021.0,CCCC(C1=CN=CC=C1)NC2=NC(=NC=C2C)C3=CC(=C(C=C3)NC(=O)NCC)OC,TUBB,Lexibulin,758488,758488,,,,,,
20436,758489,2929.0,C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)Cl)C(=O)C(=O)NC4=CC=NC=C4,TUBB,Indibulin,758489,758489,,,,,,
20437,758490,,,,,,758490,,,,,,
20438,758516,44452462.0,CC1=CC(=CC(=C1N)C)C2=NNC(=O)CC3=CC4=C(C=C32)OCCO4,Other,"1-(3,5-Dimethyl-4-aminophenyl)-7,8-(ethylenedioxy)-3H-2,3-benzodiazepine-4(5H)-one",,,,,,,,
20439,758534,10293974.0,CCN(CC)C1=CC2=C(C=C1)C(C(=C(O2)N)C#N)C3=CC4=C(C(=C3)OC)OCO4,Other,"2-amino-7-(diethylamino)-4-(7-methoxy-1,3-benzodioxol-5-yl)-4H-chromene-3-carbonitrile",,,,,,,,
20440,758535,155811231.0,COC1=CC(=CC2=C1OCO2)C(=CC3=C(C4=C(C=C3)OCO4)OC)C#N,Other,"(Z)-3-(4-methoxy-1,3-benzodioxol-5-yl)-2-(7-methoxy-1,3-benzodioxol-5-yl)prop-2-enenitrile",,,,,,,,
20441,758538,16109334.0,COC1=C(C=C(C=C1)NC(=O)C2=CC(=C(C(=C2)OC)OC)OC)O,Other,"n-(3-Hydroxy-4-methoxyphenyl)-3,4,5-trimethoxybenzamide",,,,,,,,
20442,758539,91973099.0,COC1=CC(=CC2=C1OCO2)C=CC(=O)C=CC3=CC4=C(C(=C3)OC)OCO4,Other,"(1E,4E)-1,5-bis(7-methoxy-1,3-benzodioxol-5-yl)penta-1,4-dien-3-one",,,,,,,,
20443,758540,53319891.0,COC1=C(C=C(C=C1)C(=O)C2=CC(=C(C(=C2OC)OC)OC)OC)O,Other,"(3-Hydroxy-4-methoxyphenyl)(2,3,4,5-tetramethoxyphenyl)methanone",,,,,,,,
20444,758542,685418.0,C1=CC(=CC=C1C2=NNC(=C2)C3=C(C=CC(=C3)Cl)O)F,Other,4-chloro-2-(5-(4-fluorophenyl)-1H-pyrazol-3-yl)phenol,,,,,,,,
20445,758545,135577618.0,COC1=CC=C(C=C1)C2=C(ON=C2)C3=C(C=C(C=C3)OC)O,Other,"5-Methoxy-2-[4-(4-methoxyphenyl)-1,2-oxazol-5-yl]phenol",,,,,,,,
20446,758546,46949557.0,COC1=CC=C(C=C1)C2=CC3=C(C(=C(C=C3OC2=O)OC)OC)OC,Other,"5,6,7-Trimethoxy-3-(4-methoxyphenyl)chromen-2-one",,,,,,,,
20447,758548,44301775.0,COC1=CC=C(C=C1)C2=C(C(=O)CC2)C3=CC(=C(C(=C3)OC)OC)OC,Other,"2-(3,4,5-Trimethoxyphenyl)-3-(4-methoxyphenyl)-2-cyclopentene-1-one",,,,,,,,
20448,758551,46183322.0,COC1=CC=C(C=C1)C2=C(NN=C2N)C3=CC(=C(C(=C3)OC)OC)OC,Other,"4-(p-Methoxyphenyl)-5-(3,4,5-trimethoxyphenyl)-1H-pyrazole-3-amine",,,,,,,,
20449,758553,51138521.0,COC1=CC=C(C=C1)C2=C(C(=NN2)N)C3=CC4=C(C(=C3)OC)OCO4,Other,"4-(7-methoxy-1,3-benzodioxol-5-yl)-3-(4-methoxyphenyl)-1H-pyrazol-5-amine",,,,,,,,
20450,758554,5304336.0,C1COC2=C(O1)C=CC(=C2)NC(=O)C(=O)C3=CNC4=CC=CC=C43,Other,"N-(2,3-dihydro-1,4-benzodioxin-6-yl)-2-(1H-indol-3-yl)-2-oxoacetamide",,,,,,,,
20451,758556,16762259.0,C1OC2=C(O1)C=C(C=C2)NC(=O)C(=O)C3=CNC4=C3C=CC(=C4)F,Other,"N-(1,3-benzodioxol-5-yl)-2-(6-fluoro-1H-indol-3-yl)-2-oxoacetamide",,,,,,,,
20452,758591,24779724.0,CN1C=C(C=N1)C2=NN3C(=NN=C3SC4=CC5=C(C=C4)N=CC=C5)C=C2,Kinase,Sgx-523,758591,758591,,,,,,SGX-523
20453,758591,24779724.0,CN1C=C(C=N1)C2=NN3C(=NN=C3SC4=CC5=C(C=C4)N=CC=C5)C=C2,Kinase,SGX-523,758591,758591,,,,,,SGX-523
20454,758612,5360373.0,CCC1C(C(C(C(O1)OC(C2=CN=CN2)C(C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC3=NC(=CS3)C4=NC(=CS4)C(=O)NCCCCN=C(N)N)O)NC(=O)C5=C(C(=NC(=N5)C(CC(=O)N)NCC(C(=O)N)N)N)C)OC6C(C(C(C(O6)CO)O)OC(=O)N)O)C)C.OS(=O)(=O)O,DNA,Bleomycin,125066|758612,125066,125066|758612,Bleomycin|Bleomycin (50 uM)|Bleomycin (10 uM),Bleomycin (50 uM)|Bleomycin,Bleomycin|Bleomycin_NSC_125066|Bleomycin (50 uM),,bleomycin A2
20455,758612,5460769.0,CCC1C(C(C(C(O1)OC(C2=CN=CN2)C(C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC3=NC(=CS3)C4=NC(=CS4)C(=O)NCCCCN=C(N)N)O)NC(=O)C5=C(C(=NC(=N5)C(CC(=O)N)NCC(C(=O)N)N)N)C)OC6C(C(C(C(O6)CO)O)OC(=O)N)O)C)C.OS(=O)(=O)O,DNA,bleomycin A2,125066|758612,125066,125066|758612,Bleomycin|Bleomycin (50 uM)|Bleomycin (10 uM),Bleomycin (50 uM)|Bleomycin,Bleomycin|Bleomycin_NSC_125066|Bleomycin (50 uM),,bleomycin A2
20456,758612,60148416.0,CCC1C(C(C(C(O1)OC(C2=CN=CN2)C(C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC3=NC(=CS3)C4=NC(=CS4)C(=O)NCCCCN=C(N)N)O)NC(=O)C5=C(C(=NC(=N5)C(CC(=O)N)NCC(C(=O)N)N)N)C)OC6C(C(C(C(O6)CO)O)OC(=O)N)O)C)C.OS(=O)(=O)O,DNA,Pharmakon1600-01503692,125066|758612,125066,125066|758612,Bleomycin|Bleomycin (50 uM)|Bleomycin (10 uM),Bleomycin (50 uM)|Bleomycin,Bleomycin|Bleomycin_NSC_125066|Bleomycin (50 uM),,bleomycin A2
20457,758612,60148416.0,CCC1C(C(C(C(O1)OC(C2=CN=CN2)C(C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC3=NC(=CS3)C4=NC(=CS4)C(=O)NCCCCN=C(N)N)O)NC(=O)C5=C(C(=NC(=N5)C(CC(=O)N)NCC(C(=O)N)N)N)C)OC6C(C(C(C(O6)CO)O)OC(=O)N)O)C)C.OS(=O)(=O)O,DNA,Bleomycin (10 uM),125066|758612,125066,125066|758612,Bleomycin|Bleomycin (50 uM)|Bleomycin (10 uM),Bleomycin (50 uM)|Bleomycin,Bleomycin|Bleomycin_NSC_125066|Bleomycin (50 uM),,bleomycin A2
20458,758612,60148416.0,CCC1C(C(C(C(O1)OC(C2=CN=CN2)C(C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC3=NC(=CS3)C4=NC(=CS4)C(=O)NCCCCN=C(N)N)O)NC(=O)C5=C(C(=NC(=N5)C(CC(=O)N)NCC(C(=O)N)N)N)C)OC6C(C(C(C(O6)CO)O)OC(=O)N)O)C)C.OS(=O)(=O)O,DNA,Bleomycin (50 uM),125066|758612,125066,125066|758612,Bleomycin|Bleomycin (50 uM)|Bleomycin (10 uM),Bleomycin (50 uM)|Bleomycin,Bleomycin|Bleomycin_NSC_125066|Bleomycin (50 uM),,bleomycin A2
20459,758612,60148416.0,CCC1C(C(C(C(O1)OC(C2=CN=CN2)C(C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC3=NC(=CS3)C4=NC(=CS4)C(=O)NCCCCN=C(N)N)O)NC(=O)C5=C(C(=NC(=N5)C(CC(=O)N)NCC(C(=O)N)N)N)C)OC6C(C(C(C(O6)CO)O)OC(=O)N)O)C)C.OS(=O)(=O)O,DNA,Bleomycin_NSC_125066,125066|758612,125066,125066|758612,Bleomycin|Bleomycin (50 uM)|Bleomycin (10 uM),Bleomycin (50 uM)|Bleomycin,Bleomycin|Bleomycin_NSC_125066|Bleomycin (50 uM),,bleomycin A2
20460,758617,60148418.0,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)C4=CC=CC=C4.[Ca+2],Other,Pharmakon1600-01503722,758617|779709,,,,,,,
20461,758627,5405.0,,,,,758627,,,,,,
20462,758630,14710.0,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Other,Homidium bromide,,,,,,,,
20463,758644,2082.0,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,Other,Albendazole,,,,,,,,
